application_id,received,status,license_class,legal_name,trade_name,premises_address,city,zip,county
NA-0240-26-127673,2026-09-17,IntakeComplete,Restaurant,Hoy Restaurant LLC,,3 Clinton St,New York,10002,New York
NA-0346-26-127675,2026-09-17,IntakeComplete,Catering Establishment,THE JOINT RBNY LLC,,73-05 Beach Channel Dr,Arverne,11692,Queens
NA-0343-26-127667,2026-09-17,IntakeComplete,Hotel,PH LGA Hotel LLC; PHGLGA LLC; & Palette Payroll LLC,,104-04 Ditmars Blvd,East Elmhurst,11369,Queens
NA-0240-26-127628,2026-09-16,IntakeComplete,Restaurant,Badami NY Inc,,203-16 Northern Blvd,Bayside,11361,Queens
NA-0171-26-327625,2026-09-16,Under Review,Ice Skating Venue,"ASMBL, LLC",,3385 Niagara Falls Blvd,North Tonawanda,14120,Niagara
NA-0340-26-127619,2026-09-16,IntakeComplete,Restaurant,Ruay Mak Jing Corp,,830 9th Ave,New York,10019,New York
NA-0071-26-127615,2026-09-16,IntakeComplete,Grocery Store,Chrystie's Convenience Corp.,,155 Chrystie St,New York,10002,New York
NA-0370-26-127612,2026-09-16,IntakeComplete,Food & Beverage Business,Crissy's Community Tavern Inc.,,292 Hempstead Ave,West Hempstead,11552,Nassau
NA-0071-26-327606,2026-09-16,IntakeComplete,Grocery Store,Frankinville Food Store LLC,,17 S Main St,Franklinville,14737,Cattaraugus
NA-0340-26-127585,2026-09-16,IntakeComplete,Restaurant,"SDV IMPORTS, INC.",Sapori,111 Milbar Blvd,Farmingdale,11735,Suffolk
NA-0071-26-127595,2026-09-16,IntakeComplete,Grocery Store,Chop Chop Habibi 1 Corp.,,2639 Jerome Ave,Bronx,10468,Bronx
NA-0370-26-127571,2026-09-16,IntakeComplete,Food & Beverage Business,HLE TargetCo LLC,,185 Morris Ave,Holtsville,11742,Suffolk
NA-0340-26-227563,2026-09-16,IntakeComplete,Restaurant,THE PINES VIBE LLC,The Pines,5327 Route 212,Mount Tremper,12457,Ulster
NA-0081-26-127559,2026-09-16,IntakeComplete,Grocery Store,Golden Star Brothers Corp.,,1621 Lexington Ave,New York,10029,New York
NA-0081-26-127546,2026-09-16,IntakeComplete,Grocery Store,Legacy Deli & Juice Bar Corp.,,32 Avenue B,New York,10009,New York
NA-0391-26-127550,2026-09-16,IntakeComplete,Golf Venue,Pine Ridge Golf Group LLC,,2 Golf Course Dr,Coram,11727,Suffolk
NA-0340-26-127535,2026-09-16,IntakeComplete,Restaurant,"Paradies Lagardere @ JFK T4 2025 (F&B), LLC",NY Farms to Flight,JFK International Airport,Jamaica,11430,Queens
NA-0240-26-127541,2026-09-16,IntakeComplete,Restaurant,TRG Operations Inc,Island Park Diner,108 Long Beach Rd,Island Park,11558,Nassau
NA-0343-26-127525,2026-09-16,IntakeComplete,Hotel,444 AS Lounge LLC,,444 10th Ave,New York,10001,New York
