camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,violation_code,violation,critical,action,score,grade
50117478,SUNSET BAGELS,American,8624,5 AVENUE,Brooklyn,11209,***-***-**33,2026-09-17,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,27,Z
40586239,BROADWAY BAGEL,Bagels/Pretzels,2658,BROADWAY,Manhattan,10025,***-***-**31,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,10,A
41303739,STARBUCKS,Coffee/Tea,118-24,QUEENS BOULEVARD,Queens,11375,***-***-**46,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
41370414,ARTHUR AVENUE CATERS,Italian,611,CRESCENT AVENUE,Bronx,10458,***-***-**33,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,41,
41566063,BIERHAUS,German,712,3 AVENUE,Manhattan,10017,***-***-**98,2026-09-16,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,12,A
41653556,AWASH ETHIOPIAN RESTAURANT,Ethiopian,242,COURT STREET,Brooklyn,11201,***-***-**51,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,A
41701232,POLLOS DONA MARIA,Spanish,93-03,JAMAICA AVENUE,Queens,11421,***-***-**00,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,39,
50000068,LADY M BRYANT PARK,Bakery Products/Desserts,36,WEST 40 STREET,Manhattan,10018,***-***-**22,2026-09-16,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,A
50001769,ZEN VEGETARIAN HOUSE,Vegetarian,773,FLATBUSH AVENUE,Brooklyn,11226,***-***-**55,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50008279,GARLIC PIZZA BAR,Pizza,629,2 AVENUE,Manhattan,10016,***-***-**00,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,51,
50015444,99 CENTS FRESH SLICE PIZZA,Pizza,105,STANTON STREET,Manhattan,10002,***-***-**03,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,A
