registration,approved,address,ward,expires
R26000145213,2026-09-10,"601 W Jackson BLVD Unit 502, Chicago, IL 60661, United States",34,2027-09-15
R26000145221,2026-09-10,"33 S Ashland AVE Unit 102, Chicago, IL 60607, United States",34,2027-09-15
R22000091852,2026-09-09,"3520 W Carmen AVE, Chicago, IL 60625, United States",39,2027-10-15
R23000109918,2026-09-09,"144 W Erie ST Unit 801, Chicago, IL 60654, United States",42,2027-10-15
R23000109919,2026-09-09,"144 W Erie ST Unit 802, Chicago, IL 60654, United States",42,2027-10-15
R23000109920,2026-09-09,"144 W Erie ST Unit 803, Chicago, IL 60654, United States",42,2027-10-15
R24000120578,2026-09-09,"1902 N Bissell ST Unit 2, Chicago, IL 60614, United States",43,2027-09-15
R24000120606,2026-09-09,"318 W Grand AVE STE 301, Chicago, IL 60654, United States",42,2027-09-15
R24000120622,2026-09-09,"6545 S RHODES AVE, Chicago, IL 60637, United States",20,2027-09-15
R25000132814,2026-09-09,"320 N kedzie AVE, Chicago, IL 60612, United States",28,2027-09-15
R25000134461,2026-09-09,"1211 N LaSalle DR Unit 802, Chicago, IL 60610, United States",2,2027-10-15
R25000134534,2026-09-09,"1211 N LaSalle DR Unit 803, Chicago, IL 60610, United States",2,2027-10-15
R25000134535,2026-09-09,"1211 N LaSalle DR Unit 1202, Chicago, IL 60610, United States",2,2027-10-15
R26000145160,2026-09-09,"1423 W Highland AVE FL 1, Chicago, IL 60660, United States",48,2027-09-15
R26000145167,2026-09-09,"449 N Elizabeth ST Unit 2N, Chicago, IL 60642, United States",27,2027-09-15
R26000145179,2026-09-09,"4615 N Lincoln AVE # 107, Chicago, IL 60625, United States",47,2027-08-15
R26000145180,2026-09-09,"4321 S Whipple ST Apt 1, Chicago, IL 60632, United States",12,2027-09-15
R26000145193,2026-09-09,"3549 N Octavia AVE, Chicago, IL 60634, United States",38,2027-09-15
R26000145194,2026-09-09,"3517 W Palmer ST Apt 1, Chicago, IL 60647, United States",35,2027-09-15
R26000145209,2026-09-09,"318 W Grand AVE Unit 303, Chicago, IL 60654, United States",42,2027-09-15
R26000145210,2026-09-09,"339 W 24th ST Apt 2R, Chicago, IL 60616, United States",11,2027-09-15
R26000145211,2026-09-09,"1828 S Wentworth AVE Unit 5f, Chicago, IL 60616, United States",11,2027-08-15
R17000015595,2026-09-08,"4616 North Ashland Avenue Unit D, Chicago, IL 60640, United States",47,2027-09-15
R19000043215,2026-09-08,"4517 South Leamington Avenue, Chicago, IL 60638, US",22,2026-09-15
R19000048768,2026-09-08,"3420 North Janssen Avenue Floor 2, Chicago, IL 60657, US",44,2027-10-15
R21000062759,2026-09-08,"1151 West Waveland Avenue 1, Chicago, IL 60613, US",44,2027-09-15
R21000071076,2026-09-08,"641 W Grand AVE Apt 2F, Chicago, IL 60654, United States",27,2027-09-15
R21000071260,2026-09-08,"866 N State ST Unit 2, Chicago, IL 60610, United States",42,2027-09-15
R21000071847,2026-09-08,"4871 1/2 N Hermitage AVE Apt 2w, Chicago, IL 60640, United States",47,2027-10-15
R21000075328,2026-09-08,"2559 N BERNARD ST GARDEN GARDEN, Chicago, IL 60647, United States",35,2027-10-15
R22000088961,2026-09-08,"4710 N albany AVE Apt 1, Chicago, IL 60625, United States",33,2027-09-15
R22000090940,2026-09-08,"859 W Lill AVE Apt 3, Chicago, IL 60614, United States",43,2027-10-15
R22000091334,2026-09-08,"410 W Surf ST, Chicago, IL 60657, United States",44,2026-10-15
R22000091692,2026-09-08,"1735 W Gregory ST Apt 1, Chicago, IL 60640, United States",40,2027-10-15
R23000108421,2026-09-08,"3858 W wrightwood Apt 1, Chicago, IL 60647, United States",35,2027-09-15
R23000108754,2026-09-08,"4741 N knox AVE, Chicago, IL 60630, United States",39,2026-09-15
R23000109595,2026-09-08,"1913 W Armitage AVE Unit 2RW, Chicago, IL 60622, United States",32,2026-10-15
R24000120838,2026-09-08,"1919 S May ST Garden B, Chicago, IL 60608, United States",25,2027-09-15
R24000121567,2026-09-08,"6735 S Eberhart AVE Apt 1, Chicago, IL 60637, United States",6,2026-10-15
R25000133084,2026-09-08,"5136 W Agatite AVE Apt 3, Chicago, IL 60630, United States",45,2026-09-15
R25000133118,2026-09-08,"4603 N Campbell AVE Unit 1, Chicago, IL 60625, United States",47,2027-09-15
R25000133119,2026-09-08,"2503 N Lincoln AVE Apt 3, Chicago, IL 60614, United States",43,2027-09-15
R25000133121,2026-09-08,"1472 W Erie ST Unit 1R, Chicago, IL 60642, United States",27,2027-09-15
R25000133122,2026-09-08,"1439 W Lunt AVE Apt 2E, Chicago, IL 60626, United States",49,2027-09-15
R25000133123,2026-09-08,"4458 N Kedzie AVE Unit 3F, Chicago, IL 60625, United States",33,2027-09-15
R25000133633,2026-09-08,"1920 S Leavitt ST Unit 2, Chicago, IL 60608, United States",25,2027-10-15
R25000133677,2026-09-08,"712 W 26th ST Unit 1, Chicago, IL 60616, United States",11,2027-09-15
R26000145150,2026-09-08,"949 W Huron ST, Chicago, IL 60642, United States",27,2027-09-15
R26000145158,2026-09-08,"3124 N Davlin CT BSMT Garden, Chicago, IL 60618, United States",31,2027-08-15
R26000145171,2026-09-08,"2328 N kilpatrick AVE, Chicago, IL 60639, United States",31,2027-09-15
R26000145172,2026-09-08,"1320 N Astor ST Apt 1, Chicago, IL 60610, United States",43,2027-09-15
R21000072271,2026-09-07,"1912 N Cleveland AVE Unit D, Chicago, IL 60614, United States",43,2027-10-15
R22000090024,2026-09-07,"2200 N Clybourn AVE Unit 2, Chicago, IL 60614, United States",32,2027-10-15
R25000133533,2026-09-07,"4038 N Central AVE, Chicago, IL 60634, United States",38,2027-10-15
R25000133694,2026-09-07,"1854 N Lincoln AVE Unit G, Chicago, IL 60614, United States",43,2027-10-15
R25000134434,2026-09-07,"8825 S Oglesby AVE, Chicago, IL 60617, United States",8,2027-10-15
R26000145124,2026-09-07,"2033 W Washington BLVD, Chicago, IL 60612, United States",27,2027-09-15
