license_id,license_start,license_type,business_activity,legal_name,dba_name,address,city,state,zip,community_area,neighborhood,status
3073907,2026-09-18,Outdoor Patio,Sale of Liquor Outdoors on Private Property,TIMELINE THEATRE COMPANY,TIMELINE THEATRE COMPANY,5035 N BROADWAY 1-5,CHICAGO,IL,60640,UPTOWN,UPTOWN,AAI
3078677,2026-09-18,Tobacco,Retail Sales of Tobacco Products and Accessories (Less Than 80% Gross Revenue of Business),TOPOGRAPHY HOSPITALITY LLC,THE LAKE,205 W SUPERIOR ST BASEMENT-5TH FLOORS,CHICAGO,IL,60654,NEAR NORTH SIDE,RIVER NORTH,AAI
3083197,2026-09-18,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,"Lucrative Hospitality, Inc.",Innjoy,2051 W DIVISION ST 1,CHICAGO,IL,60622,WEST TOWN,UKRAINIAN VILLAGE,AAI
3095424,2026-09-18,Children's Services Facility License,After School Program / Tutoring Children Under 18 Years of Age,PORT PARMA LEARNING ACADEMY INC.,PORT PARMA LEARNING ACADEMY INC.,2010 W MONTROSE AVE,CHICAGO,IL,60618,LINCOLN SQUARE,LINCOLN SQUARE,AAI
3099659,2026-09-18,Retail Food Establishment,Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,HOT GLIZZYS LLC,HOT GLIZZYS,185 N FRANKLIN ST 101,CHICAGO,IL,60606,LOOP,LOOP,AAI
3100151,2026-09-18,Retail Food Establishment,Preparation of Food and Dining on Premises With Seating,BRYAN ERIC GARCIA,TAQUERIA EL DORADO Z,2727 W FULLERTON AVE,CHICAGO,IL,60647,LOGAN SQUARE,LOGAN SQUARE,AAI
3100544,2026-09-18,Limited Business License,Sale of Vehicle Parts and Accessories,NEW WHEELS AND TIRES LLC,NEW WHEELS AND TIRES,5821 S ARCHER AVE 1ST,CHICAGO,IL,60638,GARFIELD RIDGE,GARFIELD RIDGE,AAI
3100578,2026-09-18,Special Event Liquor,"Special Event Beer, Wine & Spirits","COMMONWEALTH VENTURES, LLC","PICCADILLY MARKET AND PICCADILLY I, LLC",4749 N ROCKWELL ST,CHICAGO,IL,60625,LINCOLN SQUARE,LINCOLN SQUARE,AAI
3100596,2026-09-18,Pop-Up Retail User,Sale of General Merchandise at Flea Market 181-365 Consecutive Days,RAUL MARTINEZ & ROSALINDA MARTINEZ,MARTINEZ,4100 S ASHLAND AVE 766,CHICAGO,IL,60609,NEW CITY,NEW CITY,AAI
3103857,2026-09-18,Limited Business License,Provide Computer Design/Development Consulting,CGI TECHNOLOGIES AND SOLUTIONS INC.,CGI TECHNOLOGIES AND SOLUTIONS INC,311 S WACKER DR 4950,CHICAGO,IL,60606,LOOP,LOOP,AAI
3103892,2026-09-18,Pharmaceutical Representative,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year,MATTHEW SANDER,MATTHEW SANDER,[REDACTED FOR PRIVACY],ARLINGTON HEIGHTS,IL,60005,,,AAI
3103915,2026-09-18,Motor Vehicle Services License,Provide Oil Change and Tire Repair Services | Motor Vehicle Repair - Engine and Transmission Work | Retail Sales of General Merchandise and Non-Perishable Food | Sale of Vehicle Parts and Accessories | Install/Replace Car Batteries,TIGER AUTO PARTS AND REPAIR LLC,TIGER AUTO PARTS AND REPAIR,707-711 N ASHLAND AVE,CHICAGO,IL,60622,WEST TOWN,WEST TOWN,AAI
3103941,2026-09-18,Special Event Food,5 Day Single Event - Special Event Food,STIX PRETZELS LLC,STIX PRETZELS,445 W MELROSE ST 2A,CHICAGO,IL,60657,LAKE VIEW,LAKE VIEW,AAI
3103943,2026-09-18,Special Event Food,5 Day Single Event - Special Event Food,BURGER FACTORY ILLINOIS LLC,BURGER FACTORY,3455 N CLARK ST,CHICAGO,IL,60657,LAKE VIEW,WRIGLEYVILLE,AAI
3103948,2026-09-18,Limited Business License,Miscellaneous Commercial Services | Operation of a Delivery Service,Ryan Davies LLC,RYAN DAVIES LLC,2233 S WABASH AVE 1ST,CHICAGO,IL,60616,NEAR SOUTH SIDE,NEAR SOUTH SIDE,AAI
3103964,2026-09-18,Limited Business License,Nail Services,"V-FAM, INC.",PARIS NAILS,2849 W ARMITAGE AVE,CHICAGO,IL,60647,LOGAN SQUARE,LOGAN SQUARE,AAI
3103970,2026-09-18,Limited Business License,Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes,MEYAN INC.,STITCH N PRINT III,11630 S MARSHFIELD AVE,CHICAGO,IL,60643,MORGAN PARK,MORGAN PARK,AAI
