camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,violation_code,violation,critical,action,score,grade
50117478,SUNSET BAGELS,American,8624,5 AVENUE,Brooklyn,11209,7188228233,2026-09-17,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,27,Z
40586239,BROADWAY BAGEL,Bagels/Pretzels,2658,BROADWAY,Manhattan,10025,2126620231,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,10,A
41303739,STARBUCKS,Coffee/Tea,118-24,QUEENS BOULEVARD,Queens,11375,7182614246,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
41370414,ARTHUR AVENUE CATERS,Italian,611,CRESCENT AVENUE,Bronx,10458,7182955033,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,41,
41566063,BIERHAUS,German,712,3 AVENUE,Manhattan,10017,6468749498,2026-09-16,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,12,A
41653556,AWASH ETHIOPIAN RESTAURANT,Ethiopian,242,COURT STREET,Brooklyn,11201,7182432151,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,A
41701232,POLLOS DONA MARIA,Spanish,93-03,JAMAICA AVENUE,Queens,11421,7188054000,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,39,
50000068,LADY M BRYANT PARK,Bakery Products/Desserts,36,WEST 40 STREET,Manhattan,10018,2124522222,2026-09-16,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,A
50001769,ZEN VEGETARIAN HOUSE,Vegetarian,773,FLATBUSH AVENUE,Brooklyn,11226,7182822255,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50008279,GARLIC PIZZA BAR,Pizza,629,2 AVENUE,Manhattan,10016,6465599500,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,51,
50015444,99 CENTS FRESH SLICE PIZZA,Pizza,105,STANTON STREET,Manhattan,10002,2123350803,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,A
50019277,LENWICH,American,459,PARK AVENUE SOUTH,Manhattan,10016,2125322653,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,11,A
50039387,NUR THAI,Thai,63-32,WOODHAVEN BOULEVARD,Queens,11374,7182556141,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,75,
50041388,O OHAYO BREAD HOUSE,Bakery Products/Desserts,271,GRAND STREET,Manhattan,10002,9174708059,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,24,
50062832,EVELINA'S,Italian,211,DEKALB AVENUE,Brooklyn,11205,7185106256,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,10,A
50090858,YIP SZECHUAN RESTAURANT,Chinese,65-41,MYRTLE AVENUE,Queens,11385,7183861945,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,23,
50099575,TV EYE,Mexican,1647,WEIRFIELD STREET,Queens,11385,9292950556,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,22,
50102706,TOP THAI,Thai,55,CARMINE STREET,Manhattan,10014,6466091273,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,21,
50109439,BBQ VILLAGE,Pakistani,181-12,HILLSIDE AVENUE,Queens,11432,7188388801,2026-09-16,Cycle Inspection / Compliance Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,27,
