permit,job_filing,filing_reason,issued,approved,expires,work_type,job_description,estimated_cost,house,street,borough,zip,contractor_license_type,contractor_business,contractor_address,owner_business,owner_city,owner_state,status
B00456094-I1-MS,B00456094-I1,Initial Permit,2026-09-18,2021-10-27,2027-01-01,Mechanical Systems,HEREWITH FILING FOR NEW HVAC SYSTEM IN CONJUNCTION WITH NB JOB NO.: 340801500,605000,2384,ATLANTIC AVENUE,Brooklyn,11233,GC,DASR CORP,116 WOOD LANE,RATHOD,,,Permit Issued
B00680917-I1-GC,B00680917-I1,Initial Permit,2026-09-18,2026-09-17,2026-11-26,General Construction,NEW 27-STORY MIXED USE BUILDING AS SHOWN ON PLANS,70452976,175,3 STREET,Brooklyn,11215,GC,AMC BUILDERS LLC,"5-26 46TH AVENUE, SUITE #2A",PR,,,Permit Issued
B00706695-S4-PL,B00706695-S4,Initial Permit,2026-09-18,2023-12-14,2026-10-16,Plumbing,SUBSEQUENT FILING TO PROVIDE PLUMBING WORK IN CONJUNCTION WITH NEW BUILDING UNDER JOB # B00706695,55500,196,BAY 13 STREET,Brooklyn,11214,P,A.G.M. PLUMBING & HEATING,"4295 AUTHUR KILL ROAD, ST#208",PARK RIDGE PROPERTY LLC,,,Permit Issued
B00873135-S2-MS,B00873135-S2,Initial Permit,2026-09-18,2024-03-26,2026-11-15,Mechanical Systems,Replacement of 1 Air condensing unit in a kind(similar capacity).,18400,220,IRVING AVENUE,Brooklyn,11237,GC,CHAPMAN & EVANS INC,40-29 27TH STREET,NYC SCHOOL CONSTRUCTION AUTHORITY,,,Permit Issued
B00918034-S1-FN,B00918034-S1,Initial Permit,2026-09-18,2025-04-16,2027-01-23,Construction Fence,FILED HEREWITH PLANS AND APPLICATION FOR A NEW TEMPORARY PLYWOOD CONSTRUCTION FENCE FILED IN CONJUNCTION WITH ALT-CO B00918034-I1,500,4152,OCEAN AVENUE,Brooklyn,11235,GC,EDWARD BUILDERS INC,"2753 CONEY ISLAND AVE, RM 206",PR,,,Permit Issued
B00958622-S1-FN,B00958622-S1,Initial Permit,2026-09-18,2026-02-20,2027-06-01,Construction Fence,INSTALLATION OF A TEMPORARY WOODEN CONSTRUCTON FENCE,0,117,SPENCER STREET,Brooklyn,11205,GC,MJH CONSTRUCTION CORP,"670 MYRTLE AVE, #6366",ZEV ZAFIR INC.,,,Permit Issued
B01097255-S2-MS,B01097255-S2,Initial Permit,2026-09-18,2024-09-26,2026-11-20,Mechanical Systems,"PS 078K, INSTALLATION OF TEMPORARY BOILER BREECHING / STACK, STEAM, AND CONDENSATE PIPING SUBMITTING ON BEHALF OF CONTRACTOR IN CONJUNCTION WITH DOB # B07995034. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",50000,1420,EAST 68 STREET,Brooklyn,11234,GC,KORDUN CONSTRUCTION CORP,69-43 76TH STREET,NYC SCHOOL CONSTRUCTION AUTHORITY,,,Permit Issued
B01099647-S1-GC-CX,B01099647-S1,Initial Permit,2026-09-18,2026-06-10,2026-11-12,Structural,FILE FOUNDATION AND STRUCTURAL WORK TYPES IN CONJUNCTION WITH ALT-CO NEW BUILDING WITH EXISTING ELEMENTS TO REMAIN JOB APPLICATION JOB#B01099647.,268740,772,51 STREET,Brooklyn,11220,GC,JOHN EVAN CONTRACTING COR,218 E PARK AVE,,,,Permit Issued
B01111094-S2-EA,B01111094-S2,Initial Permit,2026-09-18,2026-09-15,2026-12-18,Foundation,Foundation application filled in conjunction with DOB JOB # B01111094-I1,1,1228,AVENUE V,Brooklyn,11229,GC,ADASS INC,2919 AVENUE J,PR,,,Permit Issued
B01111094-S2-FO,B01111094-S2,Initial Permit,2026-09-18,2026-09-15,2026-12-18,Foundation,Foundation application filled in conjunction with DOB JOB # B01111094-I1,1,1228,AVENUE V,Brooklyn,11229,GC,ADASS INC,2919 AVENUE J,PR,,,Permit Issued
B01111094-S6-ST,B01111094-S6,Initial Permit,2026-09-18,2026-09-15,2026-12-18,Structural,Application filed in conjunction with DOB NOW B01111094-I1,145530,1228,AVENUE V,Brooklyn,11229,GC,ADASS INC,2919 AVENUE J,PR,,,Permit Issued
B01208016-S4-FN,B01208016-S4,Initial Permit,2026-09-18,2026-09-18,2026-12-12,Construction Fence,INSTALL TEMPERORRY 8' HT CONSTRUCTION FENCE,0,689,COZINE AVENUE,Brooklyn,11208,GC,J&J DESIGNS INC,18 HUNTER PLACE,ATOMIC CONTRACTING INC.,,,Permit Issued
B01217600-S3-FN,B01217600-S3,Initial Permit,2026-09-18,2026-09-18,2026-12-12,Construction Fence,INSTALL TEMPERORRY 8' HT CONSTRUCTION FENCE,0,687,COZINE AVENUE,Brooklyn,11208,GC,J&J DESIGNS INC,18 HUNTER PLACE,ATOMIC CONTRACTING INC.,,,Permit Issued
B01217607-S3-FN,B01217607-S3,Initial Permit,2026-09-18,2026-09-18,2026-12-12,Construction Fence,INSTALL TEMPERORRY 8' HT CONSTRUCTION FENCE,0,685,COZINE AVENUE,Brooklyn,11208,GC,J&J DESIGNS INC,18 HUNTER PLACE,ATOMIC CONTRACTING INC.,,,Permit Issued
B01222118-S1-FN,B01222118-S1,Initial Permit,2026-09-18,2025-09-15,2027-05-29,Construction Fence,HEREBY FILING FOR TEMPORARY CONSTRUCTION FENCE,1000,1329,41 STREET,Brooklyn,11218,GC,AFFINITY ASSOCIATES 1 INC,670 MYRTLE AVENUE SUITE 109,Not Applicable,,,Permit Issued
B01223388-S3-PL,B01223388-S3,Initial Permit,2026-09-18,2026-03-09,2027-04-17,Plumbing,"PROPOSED PLUMBING WORK ON CELLAR, 1ST, 2ND, 3RD-5TH, 6TH AND ROOF FLOOR IN CONJUNCTION WITH DOB ALTERATION-CO NEW BUILDING JOB #:B01223388.",30000,877,58 STREET,Brooklyn,11220,P,JOHN FITZGERALD PLBG &HTG,256 WEST 124TH STREET,PR,,,Permit Issued
B01236322-S3-EW-SP,B01236322-S3,Initial Permit,2026-09-18,2026-03-27,2027-05-18,Sprinklers,Sprinkler work type hereby filed subsequent to the Alt. CO application: B01236322-I1,78925,1419,PARK PLACE,Brooklyn,11213,F,A M B MECHANICAL INC,152-32 ROCKAWAY BLVD,SKY ROCK,,,Permit Issued
B01240563-S2-PL,B01240563-S2,Initial Permit,2026-09-18,2025-09-18,2027-02-20,Plumbing,"Installation of replacement plumbing fixtures, equipment, water heaters and related piping as per plans filed herewith for new renovation of existing building as indicated on plans.",2218239,1550,EAST 102 STREET,Brooklyn,11236,P,ZONE PLUMBING & HEATING C,101-21 ROCKAWAY BOULEVARD,NEW YORK CITY HOUSING AUTHORITY,,,Permit Issued
B01246769-S5-ST,B01246769-S5,Initial Permit,2026-09-18,2026-02-01,2026-11-19,Structural,STRUCTURE FILED IN CONJUNCTION WITH ALT CO JOB NUMBER B01246769-I1.,130,373,HERZL STREET,Brooklyn,11212,GC,"EXPRESS BUILDERS JB, INC",365 FLUSHING AVE #612,Not Applicable,,,Permit Issued
B01246769-S6-FO-EA,B01246769-S6,Initial Permit,2026-09-18,2026-01-08,2026-11-19,Earth Work,FOUNDATION FILED IN CONJUNCTION WITH ALT CO JOB NUMBER B01246769-I1.,130,373,HERZL STREET,Brooklyn,11212,GC,"EXPRESS BUILDERS JB, INC",365 FLUSHING AVE #612,Not Applicable,,,Permit Issued
B01248446-I1-ST,B01248446-I1,Initial Permit,2026-09-18,2025-10-06,2026-10-30,Structural,"THE STRUCTURAL WORK AS PER PLANS FILED HEREWITH INCLUDES INSTALLATION OF CONCRETE SUPPORTS FOR GROUND MOUNTED 5MW (22MWh) ENERGY STORAGE SYSTEM AND STRUCTURAL STEEL FRAMING SYSTEM FOR NFPA 15, IN OUTDOOR SPACE. NO CHANGE IN USE, EGRESS OR O",660000,172,WILLIAMS AVENUE,Brooklyn,11207,GC,VERDE ELECTRIC CORP,1402 BLONDELL AVENUE,PR,,,Permit Issued
B01286004-I1-GC,B01286004-I1,Initial Permit,2026-09-18,2026-08-27,2027-02-09,General Construction,APPLICATION FILED HEREWITH TO VERTICALLY AND HORIZONALLY ENLARGE AN EXISTING TWO STORY + BASEMENT TWO FAMILY BUILDING INTO A FOUR STORY MIXED USE BUILDING,737060,1485,UNION STREET,Brooklyn,11213,GC,ADOR BUILDERS LLC,615 CROWN STREET STE 101,ELITE CONCRETE NY LLC,,,Permit Issued
B01303099-S1-ST,B01303099-S1,Initial Permit,2026-09-18,2026-07-07,2027-01-07,Structural,Structural work in conjunction with Alteration CO,61820,555,16 STREET,Brooklyn,11215,GC,YAFE MEOD CORP,17 BARSTOW ROAD .SUITE 401,EASY STREET PROPERTIES,,,Permit Issued
B01307224-I1-SF,B01307224-I1,Initial Permit,2026-09-18,2026-09-18,2026-10-14,Supported Scaffold,"Installation of a temporary supported scaffold per plan submitted. Work shall comply with 2022 building codes chapter 33. No change in use, egress and/or occupancy with this application.",2500,846,MANHATTAN AVENUE,Brooklyn,11222,GC,PRAT ENTERPRISES CORP,257 KENT STREET,PRAT ENTERPRISES CORP,,,Permit Issued
B01322734-S1-ST,B01322734-S1,Initial Permit,2026-09-18,2026-09-18,2027-01-01,Structural,STRUCTURAL ALTERATION FOR INTERIOR RENOVATION SCOPE. REINFORCEMENT OF EXISTING JOISTS VERTICAL ADDITION.,256048,509,6 AVENUE,Brooklyn,11215,GC,PTG GROUP LLC,1478 MORRIS AVE SUITE #101,PR,,,Permit Issued
B01332687-I1-FD,B01332687-I1,Initial Permit,2026-09-18,2026-05-06,2027-01-01,Full Demolition,"THIS JOB IS FILED FOR FULL DEMOLITION WORK AT 880 QUINCY STREET, BROOKLYN, NY 11221",100000,880,QUINCY STREET,Brooklyn,11221,GC,MEGA GENERAL CONSTR NYC,4021 159TH STREET 3RD FLOOR,880 QUINCY LLC,,,Permit Issued
B01341924-S1-PL,B01341924-S1,Initial Permit,2026-09-18,2026-06-22,2027-02-09,Plumbing,"INTERIOR RENOVATION OF EXISTING COMMERCIAL FOOD TAKEOUT, INSTALL NEW KITCHEN EQUIPMENT AT1ST FLOOR. NO CHANGE IN USE, OCCUPANCY AND EGRESS IS INVOLVED UNDER THIS APPLICATION.",11900,1104,LIBERTY AVENUE,Brooklyn,11208,P,WATERMARK PLUMBING CORP,97-06 101 AVENUE,n/a,,,Permit Issued
B01354445-I1-PL,B01354445-I1,Initial Permit,2026-09-18,2026-09-15,2026-12-06,Plumbing,"PLUMBING WORK IN 2-STORY WITH CELLAR AND ATTIC, 2-FAMILY BUILDING IN CONJUNCTION WITH ALT-2 APPLICATION #B01306775-I1",34500,571,EAST 31 STREET,Brooklyn,11210,P,PLBG P & H INC,81-15 MYRTLE AVENUE,ORCHID HOMES INC,,,Permit Issued
B01358791-S1-FN,B01358791-S1,Initial Permit,2026-09-18,2026-03-24,2026-12-02,Construction Fence,Fence application hereby filed subsequent to the FD application: B01358791-I1.,1000,893,DEAN STREET,Brooklyn,11238,GC,INNOVATIVE CONSTR NYC LLC,"130 LEE AVENUE, SUITE 431",Not Applicable,,,Permit Issued
B01359300-I1-SL,B01359300-I1,Initial Permit,2026-09-18,2026-09-11,2027-04-25,Solar,"Installation of PV solar energy system on roof. No change of use, egress, or occupancy.",133353,231,SOUTH 2 STREET,Brooklyn,11211,GC,BEST ENERGY POWER 2015 LL,20 W FAIRVIEW AVENUE,PR,,,Permit Issued
B01360036-I1-GC,B01360036-I1,Initial Permit,2026-09-18,2026-06-16,2026-11-16,General Construction,RENOVATION OF EXISTING TWO-FAMILY BUILDING. EXTERIOR WORK: NEW WINDOWS AT FRONT FACADE AND ENLARGEMENT OF SELECTED OPENINGS AT REAR FACADE WITH NEW WINDOWS. INTERIOR WORK: FULL RENOVATION OF THE FIRST FLOOR AND PARTIAL RENOVATION OF OTHER F,424250,478,10 STREET,Brooklyn,11215,GC,A & K CREATIVE CONSTRUCT*,3030 EMMONS AVENUE.APT#5S,Not Applicable,,,Permit Issued
B01362776-S3-EW-SP,B01362776-S3,Initial Permit,2026-09-18,2026-07-10,2026-10-23,Sprinklers,Sprinkler work as shown on plans filed herewith.,35000,267,KENT AVENUE,Brooklyn,11249,F,UNIVERSAL FIRE SPR LLC,43-01 21ST STREET STE 126,PALM TREE CONSULTING INC,,,Permit Issued
B01371667-I1-ST,B01371667-I1,Initial Permit,2026-09-18,2026-05-27,2027-05-28,Structural,Reinforcement of existing wood girder at the first floor/basement framing.,25000,799,PRESIDENT STREET,Brooklyn,11215,GC,MEGHNA CONSTRUCTION,211 DAHILL ROAD,,,,Permit Issued
B01392214-I1-GC,B01392214-I1,Initial Permit,2026-09-18,2026-07-17,2026-10-25,General Construction,"GC WORK TO RENOVATE BASEMENT, 2 & 3 FLOOR OF EX. 2-FAMILY AS PER PLANS SUBMITTED HEREWITH. PL WORK FILED UNDER SUBSEQUENT FILING. NO CHANGE TO EGRESS, USE OR OCCUPANCY.",125000,113,HALSEY STREET,Brooklyn,11216,GC,KM CONSTRUCTION GROUP INC,5 WALNUT STREET APT B20,Rebel Rebel Management,,,Permit Issued
B01400840-I1-PL,B01400840-I1,Initial Permit,2026-09-18,2026-08-17,2026-12-31,Plumbing,"new plumbing fixtures, Hotwater heater and associated piping.",57200,62,CLERMONT AVENUE,Brooklyn,11205,P,B&B MECH PLBG & HTG LLC,1127 UTICA AVENUE,RED GROUP MANAGEMENT,,,Permit Issued
B01406376-I1-GC,B01406376-I1,Initial Permit,2026-09-18,2026-07-10,2027-01-28,General Construction,"RENOVATION OF EXISTING MULTI-FAMILY ROOF. ALL WORK ON THE ROOF & BASEMENT ONLY. NO CHANGE TO USE, EGRESS, OR OCCUPANCY.",87500,454,15 STREET,Brooklyn,11215,GC,JBJ CONCRETE RENOVATIONS,98 VAN DYKE STREET,Stay Project Solutions,,,Permit Issued
B01406683-S6-ST,B01406683-S6,Initial Permit,2026-09-18,2026-09-11,2026-12-30,Structural,PROPOSED STRUCTURAL CONSTRUCTION FILING IN CONJUNCTION WITH ALT-CO JOB#B01406683-I1.,184320,68,BAY 22 STREET,Brooklyn,11214,GC,ACER CONSTRUCTION INC,131-44 40TH ROAD 2ND FLOOR,T & T CAPITAL LLC,,,Permit Issued
B01407774-I1-SF,B01407774-I1,Initial Permit,2026-09-18,2026-09-18,2026-12-09,Supported Scaffold,"INSTALLATION OF 300 PSF SIDEWALK SHED, PIPE SCAFFOLD AND ENGINEERED ENCLOSURE AS PER PLANS. ALL EQUIPMENT SHALL COMPLY WITH CHAPTER #33 OF THE 2022 CODE. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",10000,1595,CANARSIE ROAD,Brooklyn,11236,GC,MC SUPERSTRUCTURE INC,135-53 NORTHERN BLVD #2B,"AMP COMMUNICATIONS, LLC",,,Permit Issued
